,neighbourhood
Bedford-Stuyvesant,2169
Williamsburg,2027
Harlem,1531
Bushwick,1240
Hell's Kitchen,1053
Upper West Side,1044
Midtown,1030
Upper East Side,978
Crown Heights,957
East Village,910
Lower East Side,639
Chelsea,639
East Harlem,601
Greenpoint,581
Astoria,503
Washington Heights,499
West Village,404
Flatbush,349
East Flatbush,346
Prospect-Lefferts Gardens,337
Financial District,321
Clinton Hill,319
Long Island City,318
Flushing,310
Fort Greene,281
Park Slope,272
Kips Bay,271
Woodside,239
Sunset Park,228
Murray Hill,227
Sunnyside,214
Ridgewood,209
East New York,206
SoHo,201
Jamaica,196
Ditmars Steinway,191
Chinatown,188
Prospect Heights,183
Theater District,180
Greenwich Village,174
Morningside Heights,173
Gramercy,171
South Slope,168
East Elmhurst,166
Elmhurst,165
Jackson Heights,164
Nolita,153
Inwood,148
Carroll Gardens,142
Canarsie,135
Gowanus,132
Boerum Hill,121
Cypress Hills,102
Sheepshead Bay,100
Bay Ridge,98
Kensington,98
Little Italy,90
Springfield Gardens,88
Windsor Terrace,87
Forest Hills,82
Arverne,81
Tribeca,80
Maspeth,76
Richmond Hill,70
Flatlands,70
St. Albans,68
Brooklyn Heights,66
Rego Park,65
Midwood,65
Woodhaven,63
Borough Park,60
Corona,57
Brownsville,57
Wakefield,56
Rockaway Beach,55
Cobble Hill,55
Bensonhurst,51
Rosedale,50
Red Hook,49
Ozone Park,48
Flatiron District,48
Glendale,47
Mott Haven,46
Queens Village,46
Kingsbridge,45
Concourse,45
Battery Park City,41
Roosevelt Island,40
Gravesend,39
Brighton Beach,39
St. George,38
Two Bridges,38
Fordham,38
Stuyvesant Town,36
Longwood,35
Downtown Brooklyn,35
Bayside,34
NoHo,34
Tompkinsville,33
Fresh Meadows,33
Williamsbridge,32
South Ozone Park,32
Laurelton,31
Fort Hamilton,30
Columbia St,29
Mount Hope,27
Far Rockaway,27
Parkchester,27
Concourse Village,25
College Point,24
Allerton,24
Briarwood,24
Civic Center,24
Clason Point,23
Throgs Neck,23
Pelham Gardens,22
Kew Gardens,22
Middle Village,22
Hunts Point,22
Vinegar Hill,21
Jamaica Estates,21
Claremont Village,20
Cambria Heights,20
Morris Park,20
Howard Beach,20
Kew Gardens Hills,20
Port Morris,19
West Brighton,19
Morris Heights,18
Arrochar,18
Norwood,17
Bath Beach,17
DUMBO,17
Stapleton,17
Highbridge,17
Bronxdale,15
Morrisania,14
Coney Island,13
Concord,13
Belmont,13
Bergen Beach,12
Dyker Heights,12
Tremont,12
Schuylerville,12
Hollis,12
Grant City,12
Clifton,12
City Island,12
Baychester,11
Bayswater,11
Edenwald,11
Edgemere,11
Randall Manor,10
Mariners Harbor,10
University Heights,10
Olinville,10
Melrose,9
Shore Acres,9
Whitestone,9
Pelham Bay,9
Soundview,9
Van Nest,8
Sea Gate,8
East Morrisania,8
Marble Hill,8
Eastchester,7
Port Richmond,7
Jamaica Hills,7
Unionport,7
New Brighton,7
Grymes Hill,7
Oakwood,7
Manhattan Beach,6
Midland Beach,6
Mill Basin,6
Fieldston,6
Belle Harbor,6
Castleton Corners,6
Douglaston,5
Westchester Square,5
Navy Yard,5
Bellerose,5
Riverdale,5
Dongan Hills,4
New Springville,4
New Dorp Beach,4
Mount Eden,4
Spuyten Duyvil,4
Woodlawn,4
Arden Heights,4
Holliswood,4
Emerson Hill,4
North Riverdale,4
Rosebank,4
West Farms,3
Little Neck,3
South Beach,3
Huguenot,3
Co-op City,3
Bay Terrace,3
Great Kills,3
Silver Lake,3
Breezy Point,3
Gerritsen Beach,2
Rossville,2
Westerleigh,2
Richmondtown,2
Bull's Head,2
Howland Hook,2
Prince's Bay,2
Country Club,1
Woodrow,1
"Chelsea, Staten Island",1
Eltingville,1
Lighthouse Hill,1
New Dorp,1
Castle Hill,1
Todt Hill,1
Neponsit,1
Graniteville,1
